make_id;name
29;Rekord
29;Senator
29;Signum
29;Sintra
29;Tigra
29;Vectra
29;Vivaro
29;Zafira
30;106
30;107
30;205
30;206
30;206 CC
30;206 plus
30;207
30;207 CC
30;208
30;301
30;306
30;307
30;307 CC
30;307 SW
30;308
30;309
30;404
30;405
30;406
30;407
30;508
30;605
30;607
30;806
30;807
30;1007
30;3008
30;4007
30;5008
30;Expert
30;Partner
30;RCZ
31;Cayenne
31;911
31;Cayenne S
31;Panamera
31;Boxster
31;944
32;Avantime
32;Clio
32;Coupe
32;Espace
32;Fluence
32;Grand Espace
32;Grand Scenic
32;Kangoo
32;Koleos
32;Laguna
32;Latitude
32;Megane
32;Modus
32;Safrane
32;Scenic
32;Thalia
32;Trafic
32;Twingo
33;9-3
33;9-3X
33;9-5
33;9-7X
33;99
33;900
33;9000
34;Alhambra
34;Altea
34;Altea XL
34;Arona
34;Arosa
34;Cordoba
34;Exeo
34;Ibiza
34;Inca
34;Leon
34;Malaga
34;Marbella
34;Mii
34;Terra
34;Toledo
35;Korando
35;Kyron
35;Rexton
35;Tivoli
35;XLV
36;B9 Tribeca
36;Forester
36;Impreza
36;Justy
36;Legacy
36;OUTBACK
36;Tribeca
37;Alto
37;Baleno
37;Grand Vitara
37;Ignis
37;Jimny
37;Liana
37;Samurai
37;SJ
37;Splash
37;Swift
37;SX4
37;Vitara
37;X-90
38;Fabia
38;Favorit
38;Felicia
38;Octavia
38;Rapid
38;Roomster
38;Superb
38;Yeti
39;Auris
39;Avalon
39;Avensis
39;Avensis Verso
39;Aygo
39;Camry
39;Camry Solara
39;Carina
39;Celica
39;Corolla
39;Corolla Verso
39;Dyna
39;FJ
39;Highlander
39;Hilux
39;iQ
39;Land Cruiser
39;Matrix
39;MR2
39;Paseo
39;Picnic
39;Previa
39;Prius
39;RAV-4
39;Sienna
39;Starlet
39;Supra
39;Tacoma
39;Verso
39;Yaris
39;Yaris Verso
40;Amarok
40;Beetle
40;Bora
40;Buggy
40;CC
40;Caddy
40;Caravelle
40;Corrado
40;Eos
40;Fox
40;Garbus
40;Golf
40;Golf Plus
40;Jetta
40;Lupo
40;Multivan
40;New Beetle
40;Passat
40;Passat CC
40;Phaeton
40;Polo
40;Scirocco
40;Sharan
40;Tiguan
40;Touareg
40;Touran
40;Transporter
40;Up!
41;C30
41;C70
41;Polar
41;S40
41;S60
41;S70
41;S80
41;S90
41;V40
41;V50
41;V60
41;V70
41;V90
41;XC 40
41;XC 60
41;XC 70
41;XC 90
